experiment,seed,run_idx,success,total_downtime,total_damage,total_defense_cost,total_falsepos_actions,mean_time_to_detect,total_attacker_utility
Solver_Insider_Threat,12345,98,False,0,0,370.0,0,6.0,17517.385660710595
Solver_Insider_Threat,12345,99,False,0,0,25.0,0,1.0,1025.9999999998784
Solver_Insider_Threat,12345,100,False,0,0,950.0,1,7.0,21651.807672138668
Solver_Insider_Threat,12345,101,False,0,0,290.0,0,5.0,11901.537513203213
Solver_Insider_Threat,12345,102,True,50,50,18203.74094105521,2,,22588.99692213808
Solver_Insider_Threat,12345,103,False,0,0,1425.0,2,6.0,17478.21383570775
Solver_Insider_Threat,12345,104,False,0,0,430.0,0,7.0,22588.996922137667
Solver_Insider_Threat,12345,105,True,50,50,17703.74094105521,1,,22055.496278387494
Solver_Insider_Threat,12345,106,True,50,50,17703.74094105521,1,,22055.496278388127
Solver_Insider_Threat,12345,107,True,50,50,17278.74094105521,0,,21625.972422138984
Solver_Insider_Threat,12345,108,False,0,0,450.0,0,,22016.32445338877
Solver_Insider_Threat,12345,109,False,0,0,25.0,0,1.0,1028.624999999594
Solver_Insider_Threat,12345,110,True,50,50,17223.74094105521,0,,22016.324453388435
Solver_Insider_Threat,12345,111,False,0,0,50.0,0,2.0,2150.580937501346
